code,name,full_name
211221,铁岭县,辽宁省铁岭市铁岭县
211223,西丰县,辽宁省铁岭市西丰县
211224,昌图县,辽宁省铁岭市昌图县
211281,调兵山市,辽宁省铁岭市调兵山市
211282,开原市,辽宁省铁岭市开原市
211300,朝阳市,辽宁省朝阳市
211302,双塔区,辽宁省朝阳市双塔区
211303,龙城区,辽宁省朝阳市龙城区
211321,朝阳县,辽宁省朝阳市朝阳县
211322,建平县,辽宁省朝阳市建平县
211324,喀喇沁左翼蒙古族自治县,辽宁省朝阳市喀喇沁左翼蒙古族自治县
211381,北票市,辽宁省朝阳市北票市
211382,凌源市,辽宁省朝阳市凌源市
211400,葫芦岛市,辽宁省葫芦岛市
211402,连山区,辽宁省葫芦岛市连山区
211403,龙港区,辽宁省葫芦岛市龙港区
211404,南票区,辽宁省葫芦岛市南票区
211421,绥中县,辽宁省葫芦岛市绥中县
211422,建昌县,辽宁省葫芦岛市建昌县
211481,兴城市,辽宁省葫芦岛市兴城市
220000,吉林省,吉林省
220100,长春市,吉林省长春市
220102,南关区,吉林省长春市南关区
220103,宽城区,吉林省长春市宽城区
220104,朝阳区,吉林省长春市朝阳区
220105,二道区,吉林省长春市二道区
220106,绿园区,吉林省长春市绿园区
220112,双阳区,吉林省长春市双阳区
220113,九台区,吉林省长春市九台区
220122,农安县,吉林省长春市农安县
220182,榆树市,吉林省长春市榆树市
220183,德惠市,吉林省长春市德惠市
220200,吉林市,吉林省吉林市
220202,昌邑区,吉林省吉林市昌邑区
220203,龙潭区,吉林省吉林市龙潭区
220204,船营区,吉林省吉林市船营区
220211,丰满区,吉林省吉林市丰满区
220221,永吉县,吉林省吉林市永吉县
220281,蛟河市,吉林省吉林市蛟河市
220282,桦甸市,吉林省吉林市桦甸市
220283,舒兰市,吉林省吉林市舒兰市
220284,磐石市,吉林省吉林市磐石市
220300,四平市,吉林省四平市
220302,铁西区,吉林省四平市铁西区
220303,铁东区,吉林省四平市铁东区
220322,梨树县,吉林省四平市梨树县
220323,伊通满族自治县,吉林省四平市伊通满族自治县
220381,公主岭市,吉林省四平市公主岭市
220382,双辽市,吉林省四平市双辽市
220400,辽源市,吉林省辽源市
220402,龙山区,吉林省辽源市龙山区
220403,西安区,吉林省辽源市西安区
220421,东丰县,吉林省辽源市东丰县
220422,东辽县,吉林省辽源市东辽县
220500,通化市,吉林省通化市
220502,东昌区,吉林省通化市东昌区
220503,二道江区,吉林省通化市二道江区
220521,通化县,吉林省通化市通化县
220523,辉南县,吉林省通化市辉南县
220524,柳河县,吉林省通化市柳河县
220581,梅河口市,吉林省通化市梅河口市
220582,集安市,吉林省通化市集安市
220600,白山市,吉林省白山市
220602,浑江区,吉林省白山市浑江区
220605,江源区,吉林省白山市江源区
220621,抚松县,吉林省白山市抚松县
220622,靖宇县,吉林省白山市靖宇县
220623,长白朝鲜族自治县,吉林省白山市长白朝鲜族自治县
220681,临江市,吉林省白山市临江市
220700,松原市,吉林省松原市
220702,宁江区,吉林省松原市宁江区
